VRefN,VRefP,VBN,VBN_adj,VBP,PulsingName,PulsedReg,Scan,VRefN2
100.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R79-C9,100.0
100.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R81-C10,100.0
100.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R64-C9,103.0
103.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R42-C7,105.0
108.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R44-C5,114.0
108.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R54-C4,109.0
999.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R80-C5,999.0
109.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R48-C4,133.0
999.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R52-C3,999.0
999.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R16-C4,999.0
999.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R52-C4,999.0
111.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R36-C7,111.0
999.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R63-C4,999.0
113.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R51-C4,114.0
116.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R43-C6,116.0
118.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R49-C6,121.0
120.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R76-C6,121.0
999.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R61-C6,999.0
999.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R60-C6,999.0
121.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R53-C5,124.0
999.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R48-C6,999.0
999.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R64-C6,999.0
123.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R79-C6,124.0
999.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R48-C5,999.0
999.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R52-C5,999.0
999.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R16-C5,999.0
125.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R50-C5,127.0
131.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R57-C4,133.0
999.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R56-C4,999.0
167.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R68-C2,171.0
170.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R59-C2,171.0
999.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R64-C2,999.0
999.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R48-C2,999.0
62.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R8-C20,62.0
68.0,50,45,128,91,blue-213_VRefN-SCAN_PPReg136.txt,136,R4-C21,68.0
