Row,Col,PPReg
7,15,173
10,18,173
45,16,171
17,11,152
41,8,175
3,16,174
72,10,171
55,12,171
65,2,188
81,7,186
39,13,156
9,25,152
78,7,171
13,18,169
1,15,173
67,3,175
13,12,173
28,9,158
40,18,173
60,10,154
53,5,153
50,8,171
25,9,154
8,14,152
5,20,169
14,14,156
23,20,156
43,12,156
28,15,173
13,15,171
39,16,173
57,10,171
1,18,186
41,17,156
50,14,156
33,7,175
33,13,173
11,20,156
68,8,154
87,7,171
69,4,171
62,11,156
26,14,156
43,9,154
10,12,156
12,19,169
16,15,173
22,18,173
48,4,157
20,14,173
29,17,156
61,6,154
59,14,156
8,20,170
52,3,175
41,11,156
8,17,152
74,11,154
36,13,171
55,6,171
18,19,171
6,13,174
57,4,159
45,10,156
16,12,156
54,10,171
3,19,152
76,9,171
33,19,173
17,20,173
19,12,171
48,13,173
40,12,173
84,7,171
31,12,173
18,10,156
43,6,153
75,10,156
68,5,154
1,24,173
81,10,175
69,10,171
80,8,154
51,7,171
22,12,156
56,14,156
24,19,173
59,11,154
12,16,152
22,21,173
48,7,155
4,24,152
47,11,156
65,5,175
49,6,157
21,13,156
66,7,156
64,9,154
38,14,175
79,9,171
52,12,154
21,16,169
18,13,169
44,14,171
19,18,169
37,18,173
70,3,175
79,6,155
62,14,156
85,6,154
57,7,156
52,6,154
83,8,156
24,16,152
9,13,173
10,24,173
10,21,169
17,23,169
32,14,152
49,15,173
32,8,175
2,17,156
5,17,184
63,4,158
24,13,184
68,2,155
58,3,175
2,20,152
51,16,152
13,21,156
44,5,158
63,13,156
34,15,156
63,1,175
61,3,154
28,18,173
19,15,156
14,20,169
80,5,175
58,9,171
25,21,173
15,13,169
59,5,154
9,16,173
82,6,171
60,13,173
36,7,154
21,19,152
77,8,156
52,9,156
51,4,158
1,21,173
42,7,153
64,6,175
10,15,173
40,6,171
70,6,175
12,22,173
14,11,156
59,2,155
67,9,154
15,16,173
33,16,156
54,4,154
63,10,156
35,17,173
23,11,154
32,11,156
70,9,156
4,21,173
21,22,152
78,10,156
56,8,156
3,25,173
61,12,156
35,14,156
63,7,171
75,4,154
78,4,171
5,14,152
29,8,171
34,9,175
29,11,156
43,15,156
25,15,173
11,14,152
50,5,157
38,8,171
59,8,154
66,4,154
37,9,154
4,18,173
28,12,156
48,10,156
44,17,152
27,13,171
20,17,152
44,11,156
31,15,156
31,9,175
27,19,152
58,12,156
30,19,156
75,7,175
26,17,171
20,11,156
76,6,158
24,10,156
42,10,171
53,14,173
53,8,175
11,17,156
30,10,171
66,16,156
80,20,156
60,16,175
47,26,154
56,23,156
57,28,173
76,24,152
44,26,173
88,12,156
58,15,156
101,17,152
97,18,156
32,23,152
85,21,156
46,21,173
77,20,173
105,10,154
87,13,173
5,26,175
38,26,152
83,20,173
24,28,174
55,18,153
11,29,174
59,17,173
53,20,173
48,22,152
98,8,159
1,33,173
50,26,169
69,22,156
99,10,171
19,30,169
17,35,174
103,18,156
2,32,152
69,16,173
99,13,154
102,19,173
34,27,158
42,28,156
88,21,173
17,29,173
72,13,156
28,33,154
26,32,171
100,9,175
94,9,158
58,27,156
105,16,156
40,30,174
93,16,173
57,25,152
17,32,174
15,28,174
109,12,175
2,35,175
88,18,173
84,10,171
50,20,152
16,36,156
61,24,156
42,31,153
7,30,174
86,14,156
77,23,152
16,27,173
79,12,156
30,22,152
78,16,171
85,12,171
13,27,169
84,19,173
54,16,156
101,11,156
95,14,156
118,12,175
22,33,174
40,27,184
80,14,156
47,29,173
5,38,174
92,8,175
76,12,171
58,21,156
31,30,152
60,19,169
14,26,155
43,27,173
11,32,174
19,33,174
61,15,171
70,18,154
89,17,156
40,21,156
68,23,157
37,21,152
53,17,152
34,30,171
28,24,169
74,17,156
75,13,156
64,18,158
88,9,156
18,31,169
22,30,169
29,23,156
3,34,175
35,20,159
63,25,152
105,13,171
61,18,158
54,22,173
1,27,171
98,17,156
41,29,152
66,25,173
44,29,152
49,24,156
6,31,152
86,11,154
26,26,169
18,25,152
36,31,169
45,28,175
10,36,156
9,28,156
49,21,169
61,21,156
73,15,156
95,17,156
77,11,173
102,10,175
87,19,173
95,11,171
4,39,173
18,28,173
73,24,175
112,15,156
90,10,154
92,11,156
27,34,159
76,18,154
85,15,153
67,21,173
10,27,152
27,28,156
98,11,171
64,15,153
73,18,152
89,11,171
55,27,169
7,33,156
88,15,159
29,32,169
100,12,171
9,34,169
14,32,174
62,20,173
30,28,173
68,17,173
20,32,173
103,15,171
12,25,157
97,12,171
4,36,156
33,25,169
115,12,156
65,17,156
95,8,154
81,22,175
4,27,154
54,28,152
104,14,156
53,23,152
3,28,152
83,17,173
76,15,173
64,21,157
49,18,173
25,24,152
83,14,173
74,20,156
15,31,174
18,34,152
106,12,175
12,37,169
89,14,173
23,23,152
28,21,173
24,34,169
28,27,156
45,19,152
43,24,173
39,28,169
99,16,156
51,28,173
12,31,157
50,17,173
85,18,171
92,14,156
11,35,175
55,21,173
2,29,156
37,24,173
91,12,171
65,14,173
33,31,154
68,26,169
93,13,156
59,26,188
10,33,171
103,9,156
55,33,173
43,33,173
94,27,169
44,41,174
112,21,154
126,19,175
124,21,152
60,28,174
93,34,174
70,30,171
46,39,169
87,34,169
101,29,174
116,23,169
67,27,173
82,27,171
34,33,152
34,36,156
102,25,174
107,23,171
117,16,171
50,35,174
114,22,171
101,23,156
84,25,175
50,38,170
114,25,174
103,24,173
25,39,152
82,36,169
116,20,156
10,42,156
83,29,170
123,22,173
104,20,152
107,26,174
62,38,174
24,43,174
64,30,156
56,29,174
95,23,156
114,19,154
30,43,174
36,40,174
73,33,174
100,30,174
81,25,152
76,33,152
40,33,169
46,42,169
49,39,174
117,22,174
25,36,169
108,22,171
99,31,174
37,45,174
117,25,169
112,18,173
57,37,174
13,39,174
29,44,170
56,38,152
8,41,156
65,35,170
104,23,156
59,38,174
5,41,173
55,36,174
23,41,175
109,24,173
6,40,174
78,34,152
92,32,174
28,36,174
53,32,173
38,44,174
71,32,170
66,37,174
75,25,169
35,44,174
64,39,175
102,28,174
44,32,152
45,43,170
91,27,156
18,37,169
94,30,174
78,25,174
95,32,174
111,22,171
119,23,174
70,27,156
106,30,152
95,26,152
61,30,169
66,31,152
39,34,152
31,39,174
97,24,154
77,29,173
113,29,169
30,46,174
67,33,152
27,37,174
89,32,170
97,30,174
97,33,174
117,19,171
51,40,169
101,26,169
69,31,174
56,41,174
90,31,174
77,32,174
110,26,174
84,28,173
94,21,154
37,39,169
111,25,169
74,35,174
22,39,174
26,44,170
50,32,156
48,31,152
60,31,169
124,24,156
75,28,156
54,34,169
111,28,152
11,38,170
58,36,170
32,41,174
104,29,174
122,17,158
68,38,169
26,38,169
109,18,169
83,32,152
38,38,158
86,26,173
120,25,152
32,38,152
48,43,152
113,20,154
65,38,152
42,37,174
87,28,174
76,30,153
118,27,152
51,31,173
96,22,156
88,30,169
92,29,174
64,33,152
29,41,174
66,28,175
115,21,175
25,42,152
53,41,174
73,36,174
92,23,171
126,25,152
80,32,174
88,33,174
69,28,171
42,40,174
106,21,171
59,41,174
75,37,174
108,25,152
32,35,174
109,30,169
32,44,152
56,32,152
116,26,169
52,39,174
84,31,152
96,28,152
93,25,169
60,34,152
55,39,174
105,31,174
124,18,175
87,22,174
102,22,154
62,35,174
41,44,174
127,18,154
59,35,174
70,33,174
103,27,152
34,45,152
122,20,171
73,30,174
35,38,174
54,40,170
120,28,152
91,30,174
72,34,169
93,31,169
105,19,156
98,20,156
85,24,173
14,38,152
114,28,169
45,31,174
124,27,152
107,29,169
53,29,169
45,37,174
125,17,154
54,31,173
63,37,174
104,38,188
78,46,155
89,35,154
126,28,152
86,44,170
104,32,154
107,41,174
65,47,156
120,31,173
109,42,170
120,37,174
109,39,174
65,50,174
111,40,174
119,41,170
85,39,169
104,35,173
97,42,175
108,37,174
42,49,169
105,34,152
97,45,170
56,47,175
124,36,169
68,44,169
60,49,174
49,45,169
103,45,170
70,45,175
91,42,173
44,47,169
88,45,174
40,45,152
117,37,174
47,44,171
65,41,170
58,48,158
95,38,170
78,40,174
112,36,170
102,34,174
67,42,174
110,35,175
79,39,174
75,49,170
91,39,174
92,44,170
44,44,173
59,50,173
74,38,174
92,38,174
104,41,174
77,38,171
85,42,170
94,45,170
106,39,154
112,42,174
121,39,170
117,34,173
83,47,169
111,37,174
108,31,175
89,38,170
101,44,170
89,44,174
76,48,174
99,40,173
65,53,170
58,51,174
126,40,174
63,52,170
121,36,174
60,46,174
90,40,154
66,43,170
70,51,174
45,46,173
102,43,169
116,38,174
124,39,170
54,43,169
82,45,174
122,29,175
105,43,170
80,47,170
79,48,170
110,32,169
70,39,175
85,36,188
118,42,174
85,45,174
62,53,174
71,41,169
123,37,170
55,45,174
76,45,174
54,49,170
70,48,170
82,48,170
103,33,171
113,35,174
107,38,174
68,41,170
74,41,170
98,41,174
46,48,174
88,48,170
55,48,170
118,33,158
119,32,159
78,49,174
101,38,174
43,48,171
118,36,174
108,40,170
108,43,170
61,51,174
120,34,174
73,48,170
110,38,170
115,39,170
63,49,174
118,39,175
51,49,170
64,45,175
67,51,170
75,43,154
58,45,171
100,45,170
127,39,170
49,48,174
107,44,172
60,43,170
81,40,155
93,43,170
63,46,152
113,38,170
82,39,152
92,47,174
106,42,174
57,43,173
119,35,156
69,43,170
48,49,169
96,46,175
113,41,170
105,37,174
98,35,170
64,42,174
97,39,170
89,41,170
125,38,174
69,46,174
62,47,170
114,34,174
73,39,169
87,37,170
122,35,152
79,42,174
93,40,170
112,33,152
74,50,170
83,44,170
71,50,174
56,50,169
119,38,174
92,35,175
53,50,170
56,44,171
95,41,169
66,52,170
64,48,153
88,36,171
64,51,170
87,46,174
67,48,170
84,40,171
95,44,174
90,37,174
59,44,173
111,31,152
53,47,174
122,38,174
109,36,174
72,43,174
126,31,174
125,35,174
127,27,169
50,50,171
106,33,174
103,42,170
121,30,152
61,42,157
77,41,170
75,40,174
115,33,152
88,42,174
73,51,174
93,46,170
62,50,174
80,41,174
100,39,170
117,40,174
118,30,174
84,43,156
93,37,174
83,41,173
76,42,174
46,45,158
97,36,152
100,33,174
96,43,174
114,40,173
20,40,174
50,49,170
63,48,170
34,35,175
5,28,174
73,47,170
47,46,174
25,35,171
33,45,169
63,45,170
23,43,169
74,46,174
3,36,174
30,33,173
55,50,152
35,43,174
13,35,174
36,45,174
11,37,174
65,52,174
5,40,174
40,41,173
37,41,173
18,36,174
33,36,158
19,32,174
71,43,173
34,38,152
72,45,171
59,49,174
42,36,154
50,40,169
47,49,170
14,40,174
13,41,174
67,50,170
34,44,174
53,43,174
60,51,174
69,48,153
30,45,170
68,46,156
13,32,174
64,53,152
26,40,174
60,48,170
78,45,174
75,51,170
71,46,152
54,42,175
47,37,171
3,33,174
16,32,156
18,42,174
20,31,152
50,46,170
71,52,170
63,42,158
54,39,154
44,40,174
32,37,155
75,48,170
10,41,174
26,34,174
11,31,174
54,45,170
41,46,174
26,37,155
39,45,170
52,47,174
92,46,174
68,52,174
78,48,170
53,49,174
18,39,152
57,45,174
76,47,155
79,50,175
50,43,158
12,39,152
77,46,174
23,40,169
53,46,170
59,46,169
42,42,156
39,39,155
64,50,152
17,34,174
56,49,174
48,39,174
56,43,174
61,41,171
73,44,174
75,45,170
12,33,175
52,41,169
70,50,174
51,42,174
5,31,174
42,45,170
56,46,175
31,44,174
2,28,152
22,41,158
64,47,159
7,38,174
24,36,173
49,50,170
45,45,154
64,41,156
70,47,174
35,40,173
67,47,158
62,52,174
60,39,152
85,47,159
6,36,174
45,39,174
30,42,170
20,37,152
12,42,152
32,43,175
7,35,174
23,37,174
68,49,170
17,31,174
38,40,158
24,42,170
2,40,152
21,42,174
47,40,152
31,38,174
49,38,174
7,32,158
72,48,152
37,47,170
32,46,174
27,36,174
61,44,170
80,49,171
57,39,175
53,40,170
77,43,152
51,45,174
7,41,174
30,36,174
21,36,170
56,40,174
43,47,174
30,39,154
15,39,174
27,42,170
89,46,173
23,34,152
45,48,170
8,40,170
36,42,156
76,50,174
41,37,174
20,43,174
62,40,170
77,49,171
26,43,174
90,48,169
61,50,170
29,43,174
24,45,170
59,52,174
58,47,169
22,32,174
66,42,169
60,45,173
59,40,171
31,41,170
25,38,174
82,47,159
41,43,173
71,49,174
2,34,152
29,40,170
62,49,170
44,43,174
6,30,171
42,48,174
12,30,174
46,41,159
11,40,170
14,37,174
51,39,175
52,44,169
15,42,174
35,46,174
2,31,152
28,41,169
6,39,174
5,37,174
49,41,170
4,38,156
9,36,169
61,47,170
14,31,173
4,29,153
4,32,174
39,36,174
34,47,174
10,35,169
28,44,174
3,39,169
8,37,152
10,32,174
24,39,170
35,37,174
80,46,170
103,41,152
49,29,169
58,38,171
45,33,158
90,36,169
19,29,171
84,42,155
56,28,158
108,42,174
3,27,174
16,23,171
81,36,171
100,44,173
99,45,175
14,28,169
113,43,173
87,42,154
13,17,173
118,41,174
106,44,170
105,45,152
81,42,171
90,39,173
72,33,159
99,42,173
3,15,153
88,44,171
46,35,171
124,41,153
19,26,169
23,28,154
86,40,152
51,33,174
12,27,152
107,43,170
54,27,171
38,25,157
39,24,171
32,25,174
96,45,169
24,30,169
8,22,174
33,21,156
21,27,174
62,34,154
57,30,154
103,38,169
38,34,175
63,33,174
97,44,171
44,31,174
35,31,174
95,43,170
9,24,173
87,33,174
90,33,170
51,27,173
17,25,169
80,34,174
36,30,173
60,36,157
39,27,152
25,20,173
58,35,174
76,41,157
103,35,156
117,39,157
17,22,171
105,42,156
1,20,158
92,43,169
17,28,171
31,23,171
12,18,173
82,35,174
71,31,152
37,29,173
89,43,173
97,38,175
34,32,174
28,32,174
101,37,158
111,42,152
39,33,174
83,34,171
35,22,175
104,43,152
73,35,174
33,30,174
77,40,173
75,42,169
100,38,171
59,28,173
38,22,154
90,45,170
82,41,169
70,32,153
113,37,174
3,24,173
110,37,175
52,35,152
32,22,152
67,32,175
15,27,152
105,39,169
48,24,152
86,37,173
73,32,171
42,30,174
71,34,174
62,28,171
98,43,170
46,29,156
60,27,154
4,23,152
107,40,152
65,34,174
9,18,158
6,24,175
47,31,174
25,23,171
70,35,169
43,23,155
33,33,158
93,45,152
68,28,154
18,24,174
115,41,174
4,20,154
50,28,152
95,34,154
86,34,170
37,32,156
83,31,174
64,38,158
85,38,175
35,28,158
79,41,158
54,33,154
79,38,173
49,26,154
86,43,155
77,37,153
30,30,174
10,20,173
42,24,152
81,33,156
49,35,157
15,30,169
34,26,152
83,43,170
20,25,152
76,35,173
69,33,174
66,39,171
109,41,153
91,41,174
1,14,173
7,26,171
88,41,170
45,27,169
78,42,152
69,30,152
43,29,152
8,28,171
74,31,171
19,20,156
68,31,169
70,29,174
41,25,175
41,31,159
67,38,174
14,25,174
52,32,169
64,35,174
115,38,170
56,34,174
13,23,154
24,21,171
102,39,171
1,17,175
45,24,157
50,31,169
98,46,174
83,40,171
29,22,175
11,16,171
79,32,153
95,46,174
85,41,156
41,28,174
48,33,175
24,24,152
97,41,156
35,34,169
101,40,175
121,41,171
91,44,158
65,31,173
8,19,153
110,40,174
74,34,175
100,41,158
84,39,156
57,27,173
23,25,152
43,35,174
66,36,174
84,36,171
79,35,169
12,24,174
20,19,156
23,31,174
66,15,173
69,18,169
98,25,173
115,35,171
101,34,174
88,20,173
111,24,152
91,20,171
120,33,153
61,26,152
17,16,156
107,31,152
126,36,171
123,33,174
10,14,156
84,18,171
74,22,157
51,21,156
86,25,152
48,18,173
74,16,156
99,21,174
26,10,156
87,21,156
24,15,173
118,29,171
96,27,175
84,24,171
54,12,156
22,17,156
38,19,173
51,15,156
35,16,173
116,37,170
100,23,174
25,11,171
66,18,152
71,19,156
101,22,154
76,26,174
35,19,169
127,29,173
37,20,169
96,21,154
119,37,171
27,15,156
25,17,156
88,29,152
92,25,152
55,23,169
8,13,173
95,22,173
100,32,171
58,17,171
104,31,156
93,30,169
90,30,173
75,18,173
108,33,171
24,9,156
71,28,170
38,10,171
79,20,173
39,15,153
93,21,152
97,26,171
121,35,174
60,21,152
54,18,154
109,32,174
49,17,171
94,23,173
107,25,152
111,36,174
108,30,174
15,15,156
111,27,152
67,20,173
106,26,171
47,16,158
52,14,157
36,15,171
21,15,152
114,30,156
42,15,173
48,15,153
127,38,169
121,26,175
41,13,156
85,20,156
124,32,174
98,22,173
99,30,171
108,27,170
28,17,173
80,19,173
59,16,173
56,22,169
64,14,175
125,34,171
107,34,171
119,28,174
39,18,173
9,12,156
120,30,154
94,29,152
47,19,173
117,30,169
124,29,174
72,18,173
110,28,152
59,13,175
33,9,158
110,25,174
105,27,174
80,28,169
47,10,158
61,23,152
103,23,175
53,16,156
85,29,156
111,30,156
15,12,169
40,20,152
23,13,154
57,15,173
96,30,154
32,19,156
126,30,169
124,38,174
64,17,156
68,19,173
54,24,169
109,29,170
102,33,173
9,15,156
34,11,157
50,13,156
46,20,156
102,24,174
117,27,169
72,24,152
12,12,173
113,25,152
111,33,173
86,19,156
30,15,171
73,17,175
30,12,171
50,19,173
63,18,154
62,16,156
108,24,171
59,25,173
44,22,152
101,28,152
45,15,156
79,26,173
42,21,169
49,14,156
62,19,173
124,26,170
47,22,152
20,10,154
66,21,175
89,25,152
79,17,173
33,12,155
110,31,173
60,18,153
104,25,154
97,23,152
51,18,156
19,17,173
118,26,173
14,13,156
57,21,173
49,20,173
78,24,152
115,32,173
125,37,171
25,14,156
126,33,169
78,21,152
70,26,152
40,17,156
61,14,156
76,23,154
36,21,152
95,28,152
116,25,175
98,28,175
82,26,152
65,19,158
117,33,152
63,24,152
26,13,171
37,11,171
22,11,155
55,14,156
31,17,169
38,16,169
24,18,174
53,19,173
31,14,173
123,27,169
6,15,173
88,23,173
121,38,174
116,31,169
50,16,173
89,22,152
106,35,169
82,5,175
96,12,156
62,1,158
105,21,174
117,21,174
69,6,171
65,10,153
62,10,153
82,17,175
85,11,175
63,3,158
105,18,152
113,22,171
116,22,170
96,18,171
117,12,173
65,4,171
110,22,152
95,10,156
98,16,156
61,2,175
43,5,155
70,14,169
119,13,171
126,15,156
98,13,154
74,7,175
49,5,157
125,22,170
70,11,175
102,9,156
55,8,157
85,8,154
119,22,170
52,11,153
108,21,152
72,6,169
39,6,155
105,9,171
46,5,155
41,7,171
59,7,155
111,12,171
51,9,153
97,11,171
78,6,190
84,9,154
82,14,156
75,9,175
104,13,173
63,12,153
76,14,171
80,4,154
97,17,169
109,11,171
122,22,174
69,3,154
54,9,153
102,15,156
109,23,173
67,8,156
61,8,155
95,7,171
118,14,156
48,6,157
114,18,175
107,19,174
101,19,173
68,4,171
124,14,173
124,23,170
64,8,153
107,16,156
91,11,171
87,9,171
85,5,154
122,16,173
94,14,173
112,14,156
93,12,169
75,3,158
71,13,171
59,4,157
81,6,154
94,8,171
121,23,174
89,7,154
92,10,171
97,14,154
125,16,173
62,4,158
73,5,175
127,14,171
92,13,156
84,6,154
81,12,171
78,9,153
103,11,171
126,21,170
77,7,158
73,8,154
125,25,174
101,16,173
107,13,156
73,14,158
114,21,174
82,11,171
47,7,157
74,4,154
123,24,175
54,6,157
37,8,157
50,10,158
108,15,175
109,14,171
65,1,154
80,7,156
114,15,173
80,10,157
97,8,171
85,14,156
35,7,157
99,9,156
80,16,171
61,11,158
123,15,156
83,10,158
67,11,154
99,15,154
94,17,173
38,7,158
93,18,169
56,7,155
104,16,156
67,2,154
117,24,173
49,8,157
100,11,171
73,11,158
77,13,156
103,17,156
119,19,174
118,20,174
106,14,174
75,6,171
105,15,173
110,10,154
88,8,171
122,25,152
123,18,174
86,13,175
102,12,156
81,9,171
53,10,158
92,16,173
84,12,175
59,10,171
85,17,154
114,12,173
81,15,156
61,5,154
118,17,169
65,13,158
79,11,155
93,9,171
115,17,156
116,16,152
66,9,153
79,8,171
100,14,171
67,5,175
113,19,169
66,12,156
51,6,159
120,21,152
87,6,156
71,4,154
62,13,156
62,7,155
120,18,174
86,7,171
66,3,175
90,6,171
83,13,171
101,10,171
86,16,169
94,11,173
113,16,152
55,5,155
68,10,171
66,6,157
53,4,157
108,18,169
90,9,156
107,22,152
103,14,156
119,25,152
87,15,154
77,4,154
124,20,152
58,5,159
96,9,156
79,5,154
114,24,170
108,12,156
42,9,156
72,9,171
111,18,169
112,20,152
117,15,156
76,5,171
60,6,155
121,17,170
2,51,170
10,43,173
29,45,170
16,16,169
12,35,173
17,33,152
2,45,173
24,5,154
3,20,174
2,6,156
31,37,169
1,19,173
3,17,152
9,20,171
4,31,171
3,8,171
26,36,174
24,50,154
31,43,173
31,28,173
30,14,169
10,46,154
9,29,174
25,25,152
23,45,174
8,12,156
11,15,169
20,36,174
30,17,154
28,34,171
17,30,174
4,25,184
20,39,152
17,18,171
2,3,171
22,13,152
12,26,171
8,51,170
25,19,171
19,7,152
14,24,173
21,44,174
18,47,172
10,40,170
15,47,174
14,30,174
8,6,175
6,20,154
14,15,142
16,7,171
20,33,173
21,8,152
3,23,174
11,9,170
6,23,174
14,27,173
5,51,171
28,40,174
11,12,154
16,4,156
31,46,169
11,24,169
7,43,173
5,45,174
7,40,173
16,1,171
13,46,171
10,4,171
13,4,153
27,8,158
23,48,152
26,48,174
28,37,169
16,49,174
10,49,174
24,8,171
26,51,174
12,29,152
21,47,172
9,26,156
25,22,171
23,33,174
25,28,170
5,48,172
11,6,156
29,51,170
23,39,169
26,42,156
1,25,173
14,18,154
22,16,175
15,41,171
13,43,152
6,26,152
22,28,154
7,34,170
17,27,174
29,48,170
16,10,171
25,34,154
21,2,158
11,18,156
12,38,171
17,36,152
1,28,173
13,10,154
19,16,169
7,31,174
2,48,174
10,37,174
24,14,173
22,10,156
5,3,156
23,42,170
7,37,156
9,23,174
13,1,153
27,17,175
6,14,171
30,23,171
7,46,174
5,9,156
25,31,174
8,3,170
1,34,173
31,34,154
19,13,175
16,13,175
29,42,169
18,38,173
20,27,171
25,16,154
3,11,152
17,21,142
29,6,157
8,15,156
9,35,174
15,38,156
9,32,175
19,4,157
28,25,173
26,3,157
7,49,174
20,30,156
6,29,173
8,9,171
27,11,171
4,28,173
17,24,156
18,50,174
20,42,174
21,50,156
1,22,173
23,30,154
27,20,174
12,32,171
30,11,175
15,32,174
14,21,173
19,19,169
31,31,175
21,5,184
6,17,174
27,5,175
18,2,171
29,9,153
26,45,171
29,3,155
3,14,154
23,36,156
2,39,171
19,22,169
28,22,171
27,14,171
28,31,171
24,2,173
5,6,169
28,28,169
13,49,154
2,42,168
30,26,173
24,11,152
18,44,173
15,44,152
19,10,153
20,24,175
31,40,171
4,43,152
11,21,156
1,37,174
5,12,173
22,25,154
18,41,171
4,34,154
1,31,169
22,22,171
8,18,156
22,19,171
15,35,171
12,41,174
13,7,171
30,20,174
26,39,137
4,37,170
4,40,174
14,12,175
10,1,154
35,3,154
36,23,171
52,25,171
57,17,171
35,6,171
48,2,159
40,1,175
54,11,171
52,28,171
38,21,174
43,19,171
62,15,171
51,5,171
55,34,169
61,46,173
51,14,156
51,17,171
59,18,171
59,3,173
58,31,156
32,12,156
59,12,154
59,6,153
41,24,169
47,39,170
35,18,156
44,27,174
62,12,154
43,16,175
56,9,156
49,19,154
62,21,152
40,7,171
48,5,159
58,37,173
45,5,159
53,48,152
59,51,156
33,29,174
54,8,171
36,29,152
45,44,169
49,22,171
36,26,171
53,39,175
45,50,170
60,26,171
58,40,152
46,10,171
46,22,156
36,38,171
55,37,158
44,30,169
60,20,173
42,35,170
50,33,174
62,6,154
47,30,169
53,42,139
58,34,175
54,20,173
51,8,158
55,31,153
54,23,173
43,1,158
56,45,173
34,49,174
39,41,152
49,28,152
59,15,171
53,51,169
62,24,152
47,27,174
60,32,169
44,24,169
35,9,154
56,51,173
57,26,174
47,33,174
37,1,153
44,36,174
34,40,174
47,42,171
40,46,174
49,13,153
50,51,174
33,20,173
36,35,156
52,37,174
39,38,170
55,28,173
62,9,174
32,3,155
45,41,156
37,43,173
32,9,156
55,25,152
48,47,156
38,18,154
34,46,174
42,50,156
40,10,157
37,49,175
53,6,154
63,32,156
46,19,171
41,18,171
39,32,171
37,4,175
33,17,169
43,4,184
38,15,154
63,41,170
39,29,173
45,2,175
32,48,152
57,20,171
50,36,168
46,25,152
61,4,175
36,32,154
56,48,152
43,13,175
35,21,152
51,11,154
34,43,154
32,15,173
34,1,159
46,16,154
63,29,174
47,36,173
52,31,171
54,17,173
33,32,152
61,1,153
61,37,174
41,21,171
39,35,173
60,35,152
56,3,171
48,50,172
40,49,171
60,29,152
32,6,156
49,31,174
38,27,152
42,44,156
50,45,173
37,46,173
44,33,170
58,43,152
38,24,174
37,40,156
50,42,170
35,15,154
50,39,154
42,38,143
52,34,174
63,38,152
46,7,157
32,51,139
51,2,171
41,15,175
45,47,143
63,26,171
43,7,155
63,35,169
38,12,154
58,49,174
54,14,154
46,13,155
41,30,152
52,22,152
48,8,154
50,48,152
41,27,174
62,18,156
34,34,174
33,23,171
47,45,170
35,12,171
55,43,169
42,47,171
49,16,156
38,9,171
49,25,156
33,26,175
56,12,171
61,43,173
57,29,171
34,37,174
42,41,143
40,13,171
60,23,171
44,21,171
44,39,170
56,6,156
55,40,174
40,4,156
59,9,171
48,11,157
61,49,169
52,19,173
37,7,171
57,23,175
43,10,157
53,3,153
41,33,174
39,44,174
53,45,173
57,14,153
58,46,174
61,40,173
74,36,156
82,31,173
67,13,154
65,27,174
93,44,173
81,17,175
68,33,169
89,15,175
81,23,171
73,10,171
65,18,171
77,36,173
94,16,173
92,15,171
82,37,156
76,19,171
89,27,169
78,11,154
76,31,152
82,34,169
92,24,171
91,13,171
70,19,173
80,42,154
74,48,174
90,41,175
79,37,170
67,4,154
77,51,174
70,22,152
