Row,Col,PPReg
10,1,154
13,1,158
16,1,171
34,1,159
37,1,154
40,1,157
43,1,158
61,1,153
62,1,158
63,1,175
64,1,158
65,1,154
67,1,158
85,1,154
88,1,154
91,1,158
94,1,153
112,1,159
115,1,184
118,1,184
0,2,128
18,2,171
21,2,170
24,2,154
45,2,175
48,2,184
51,2,171
59,2,173
61,2,175
65,2,188
67,2,154
68,2,156
69,2,153
72,2,154
75,2,154
96,2,154
99,2,157
102,2,175
120,2,157
123,2,158
126,2,154
2,3,171
5,3,156
8,3,156
26,3,155
29,3,155
32,3,159
35,3,157
52,3,175
53,3,153
56,3,171
58,3,175
59,3,158
61,3,154
63,3,158
66,3,175
67,3,158
69,3,154
70,3,158
75,3,158
77,3,158
80,3,157
83,3,158
86,3,158
104,3,171
107,3,158
110,3,152
10,4,171
13,4,153
16,4,154
19,4,155
37,4,153
40,4,157
43,4,184
48,4,139
51,4,155
53,4,157
54,4,175
57,4,171
59,4,173
61,4,175
62,4,158
63,4,158
64,4,158
65,4,171
66,4,154
67,4,184
68,4,156
69,4,171
70,4,175
71,4,154
74,4,154
75,4,154
77,4,154
78,4,171
80,4,154
88,4,154
91,4,158
94,4,152
112,4,171
115,4,155
118,4,184
121,4,184
0,5,128
21,5,184
24,5,154
27,5,175
43,5,159
44,5,157
45,5,159
46,5,155
48,5,170
49,5,173
50,5,155
51,5,171
53,5,169
55,5,156
58,5,184
59,5,154
61,5,154
65,5,175
67,5,174
68,5,154
72,5,171
73,5,158
75,5,155
76,5,171
78,5,157
79,5,154
80,5,175
82,5,153
85,5,154
96,5,154
99,5,159
102,5,156
123,5,154
126,5,153
2,6,156
5,6,158
8,6,184
11,6,156
29,6,155
32,6,156
35,6,171
39,6,155
40,6,171
43,6,155
48,6,159
49,6,155
51,6,159
52,6,154
53,6,154
54,6,159
55,6,171
56,6,156
59,6,157
60,6,159
61,6,154
62,6,154
64,6,175
66,6,155
69,6,171
70,6,175
72,6,173
75,6,171
76,6,158
78,6,190
79,6,155
80,6,175
81,6,154
82,6,175
83,6,154
84,6,154
85,6,154
86,6,143
87,6,156
90,6,171
104,6,175
107,6,175
110,6,153
113,6,156
13,7,171
16,7,175
19,7,152
33,7,175
35,7,155
36,7,153
37,7,154
38,7,159
40,7,175
41,7,175
42,7,157
43,7,155
46,7,157
47,7,155
48,7,155
51,7,171
56,7,155
57,7,156
59,7,188
62,7,155
63,7,171
64,7,155
66,7,156
67,7,175
70,7,154
74,7,158
75,7,153
77,7,153
78,7,171
80,7,156
81,7,186
84,7,171
86,7,171
87,7,171
88,7,154
89,7,154
91,7,158
94,7,171
95,7,175
97,7,171
115,7,155
118,7,155
121,7,154
0,8,128
3,8,175
21,8,156
24,8,153
27,8,153
29,8,154
32,8,153
37,8,159
38,8,171
41,8,153
48,8,154
49,8,155
50,8,171
51,8,157
53,8,158
54,8,153
55,8,159
56,8,156
59,8,154
61,8,155
64,8,157
67,8,156
68,8,157
72,8,154
73,8,157
75,8,156
77,8,156
78,8,156
79,8,175
80,8,154
83,8,156
85,8,154
88,8,171
92,8,175
94,8,171
95,8,154
97,8,154
98,8,159
99,8,175
102,8,158
105,8,158
123,8,171
126,8,156
5,9,156
8,9,171
11,9,156
24,9,156
25,9,154
28,9,157
29,9,153
31,9,153
32,9,156
33,9,158
34,9,158
35,9,158
37,9,158
38,9,154
42,9,158
43,9,154
51,9,157
52,9,156
54,9,155
56,9,156
58,9,175
59,9,153
62,9,156
64,9,155
66,9,157
67,9,154
70,9,156
72,9,171
75,9,175
76,9,158
78,9,157
79,9,171
80,9,171
81,9,171
83,9,156
84,9,158
86,9,158
87,9,154
88,9,156
89,9,175
90,9,156
93,9,154
94,9,157
96,9,156
99,9,156
100,9,158
102,9,156
103,9,156
105,9,154
107,9,171
110,9,175
113,9,157
13,10,154
16,10,171
18,10,156
19,10,153
20,10,154
22,10,154
24,10,156
26,10,156
30,10,158
38,10,171
40,10,157
42,10,171
43,10,157
45,10,156
46,10,171
47,10,158
48,10,156
50,10,153
53,10,158
54,10,171
57,10,171
59,10,158
60,10,158
62,10,157
63,10,156
64,10,159
65,10,157
67,10,156
68,10,171
69,10,171
70,10,171
72,10,171
73,10,171
75,10,156
78,10,156
80,10,157
81,10,175
83,10,172
84,10,171
90,10,154
91,10,175
92,10,171
94,10,153
95,10,156
97,10,171
99,10,171
101,10,171
102,10,175
105,10,154
110,10,154
115,10,155
118,10,157
121,10,157
124,10,156
0,11,128
3,11,152
14,11,156
17,11,157
20,11,156
22,11,155
23,11,153
24,11,156
25,11,171
27,11,154
29,11,156
30,11,153
32,11,156
34,11,157
37,11,171
41,11,156
44,11,156
47,11,156
48,11,157
51,11,154
52,11,153
54,11,171
59,11,154
61,11,153
62,11,156
67,11,158
70,11,158
73,11,157
74,11,154
75,11,154
77,11,173
78,11,157
79,11,177
81,11,175
82,11,153
85,11,153
86,11,154
89,11,171
91,11,171
92,11,156
94,11,171
95,11,171
97,11,175
98,11,171
99,11,171
100,11,171
101,11,156
102,11,175
103,11,171
105,11,154
109,11,171
126,11,156
5,12,173
8,12,156
9,12,156
10,12,154
11,12,154
12,12,173
13,12,158
14,12,175
15,12,169
16,12,155
19,12,158
22,12,177
28,12,156
30,12,171
31,12,173
32,12,156
33,12,155
35,12,171
38,12,154
40,12,175
43,12,156
52,12,154
54,12,156
55,12,171
56,12,171
58,12,156
59,12,154
61,12,156
62,12,154
63,12,153
65,12,175
66,12,156
76,12,171
79,12,156
81,12,153
83,12,171
84,12,158
85,12,171
86,12,175
88,12,156
89,12,156
91,12,171
93,12,154
96,12,159
97,12,171
100,12,175
102,12,156
106,12,175
107,12,173
108,12,156
109,12,175
110,12,175
111,12,171
