Scan,Row,Col,VRefN,PPReg,rawIadj,Mean,Delta
R7-C15,7,15,40.58,173,173,41,0.42
R10-C18,10,18,40.5,173,173,41,0.5
R45-C16,45,16,40.5,171,171,41,0.5
R17-C11,17,11,38.56,152,152,41,2.44
R41-C8,41,8,40.5,152,152,41,0.5
R3-C16,3,16,40.5,174,174,41,0.5
R72-C10,72,10,38.49,171,171,41,2.51
R55-C12,55,12,37.35,171,171,41,3.65
R65-C2,65,2,38.5,158,158,41,2.5
R81-C7,81,7,37.5,154,154,41,3.5
R39-C13,39,13,39.5,156,156,41,1.5
R9-C25,9,25,40.5,152,152,41,0.5
R78-C7,78,7,39.5,171,171,41,1.5
R13-C18,13,18,40.5,169,169,41,0.5
R1-C15,1,15,39.5,173,173,41,1.5
R67-C3,67,3,40.61,175,175,41,0.39
R13-C12,13,12,40.5,169,169,41,0.5
R28-C9,28,9,40.5,156,156,41,0.5
R40-C18,40,18,39.5,173,173,41,1.5
R60-C10,60,10,40.5,156,156,41,0.5
R53-C5,53,5,37.58,158,158,41,3.42
R50-C8,50,8,38.65,171,171,41,2.35
R25-C9,25,9,37.5,154,154,41,3.5
R8-C14,8,14,37.5,170,170,41,3.5
R5-C20,5,20,40.51,169,169,41,0.49
R14-C14,14,14,39.09,156,156,41,1.91
R23-C20,23,20,38.5,156,156,41,2.5
R43-C12,43,12,40.5,156,156,41,0.5
R28-C15,28,15,39.77,173,173,41,1.23
R13-C15,13,15,40.5,171,171,41,0.5
R39-C16,39,16,40.32,173,173,41,0.68
R57-C10,57,10,37.5,171,171,41,3.5
R1-C18,1,18,39.5,156,156,41,1.5
R41-C17,41,17,39.5,156,156,41,1.5
R50-C14,50,14,40.5,156,156,41,0.5
R33-C7,33,7,39.5,156,156,41,1.5
R33-C13,33,13,38.5,173,173,41,2.5
R11-C20,11,20,37.5,170,170,41,3.5
R68-C8,68,8,40.5,152,152,41,0.5
R87-C7,87,7,38.5,171,171,41,2.5
R69-C4,69,4,39.5,171,171,41,1.5
R62-C11,62,11,39.41,156,156,41,1.59
R26-C14,26,14,40.5,156,156,41,0.5
R43-C9,43,9,38.15,154,154,41,2.85
R10-C12,10,12,38.5,169,169,41,2.5
R12-C19,12,19,36.5,170,170,41,4.5
