Scan,Row,Col,VRefN,PPReg,rawIadj,Mean,Delta
R79-C9,79,9,0.0,64,9999,41,9999.0
R81-C10,81,10,0.0,64,9999,41,9999.0
R64-C9,64,9,0.0,64,9999,41,9999.0
R42-C7,42,7,37.0,153,153,41,4.0
R44-C5,44,5,39.0,158,158,41,2.0
R54-C4,54,4,0.0,64,9999,41,9999.0
R48-C4,48,4,39.0,157,157,41,2.0
R36-C7,36,7,0.0,64,9999,41,9999.0
R51-C4,51,4,0.0,64,9999,41,9999.0
R43-C6,43,6,40.0,153,153,41,1.0
R49-C6,49,6,37.0,157,157,41,4.0
R76-C6,76,6,0.0,64,9999,41,9999.0
R53-C5,53,5,39.0,153,153,41,2.0
R79-C6,79,6,32.0,155,155,41,9.0
R50-C5,50,5,38.0,157,157,41,3.0
R57-C4,57,4,28.0,159,159,41,13.0
R68-C2,68,2,40.0,155,155,41,1.0
R59-C2,59,2,39.0,155,155,41,2.0
R8-C20,8,20,37.0,170,170,41,4.0
R4-C21,4,21,33.0,173,173,41,8.0
R11-C14,11,14,38.0,152,152,41,3.0
R12-C19,12,19,40.0,169,169,41,1.0
R8-C14,8,14,39.0,152,152,41,2.0
R15-C13,15,13,39.0,169,169,41,2.0
R14-C11,14,11,39.0,156,156,41,2.0
R11-C20,11,20,38.0,156,156,41,3.0
R10-C12,10,12,39.0,156,156,41,2.0
R6-C13,6,13,0.0,64,9999,41,9999.0
R10-C21,10,21,0.0,64,9999,41,9999.0
R34-C15,34,15,39.0,156,156,41,2.0
R18-C19,18,19,35.0,171,171,41,6.0
R17-C11,17,11,0.0,64,9999,41,9999.0
R22-C12,22,12,40.0,156,156,41,1.0
R13-C12,13,12,41.0,173,173,41,0.0
R2-C20,2,20,0.0,64,9999,41,9999.0
R44-C17,44,17,0.0,64,9999,41,9999.0
R12-C22,12,22,0.0,64,9999,41,9999.0
R3-C19,3,19,0.0,64,9999,41,9999.0
R1-C24,1,24,0.0,64,9999,41,9999.0
R24-C16,24,16,0.0,64,9999,41,9999.0
R19-C12,19,12,39.0,171,171,41,2.0
R25-C21,25,21,0.0,64,9999,41,9999.0
R29-C8,29,8,39.0,171,171,41,2.0
R38-C14,38,14,35.0,175,175,41,6.0
R26-C17,26,17,39.0,171,171,41,2.0
R33-C19,33,19,0.0,64,9999,41,9999.0
R10-C24,10,24,0.0,64,9999,41,9999.0
R30-C10,30,10,38.0,171,171,41,3.0
R23-C11,23,11,37.0,154,154,41,4.0
R50-C14,50,14,0.0,64,9999,41,9999.0
R41-C8,41,8,37.0,175,175,41,4.0
R33-C7,33,7,34.0,175,175,41,7.0
R37-C9,37,9,38.0,154,154,41,3.0
R16-C12,16,12,0.0,64,9999,41,9999.0
R43-C15,43,15,0.0,64,9999,41,9999.0
R44-C14,44,14,0.0,64,9999,41,9999.0
R32-C8,32,8,35.0,175,175,41,6.0
R36-C13,36,13,0.0,64,9999,41,9999.0
R41-C11,41,11,0.0,64,9999,41,9999.0
R31-C9,31,9,39.0,175,175,41,2.0
R68-C8,68,8,39.0,154,154,41,2.0
R34-C9,34,9,37.0,175,175,41,4.0
R60-C10,60,10,40.0,154,154,41,1.0
